recno,RAdeg,DEdeg,Vmag,Bmag,B-V
,57.318075,24.584497,16.25,17.112,0.862
,56.820192,24.074002,16.257,17.76,1.503
,56.643427,24.328174,16.31,16.92,0.61
,57.020972,24.535314,16.318,16.847,0.529
,56.941284,23.912822,16.353,17.159,0.806
,57.098622,24.145327,16.364,17.329,0.965
,56.760943,24.259634,16.38,17.25,0.87
,57.282881,24.359163,16.386,16.828,0.442
,56.742881,24.315239,16.387,17.327,0.94
,57.030002,24.089774,16.474,17.093,0.619
,57.065784,24.58821,16.507,17.818,1.311
,56.886426,24.178249,16.543,18.329,1.786
,57.2958,24.414524,16.577,16.755,0.178
,56.920887,24.290652,16.629,17.378,0.749
,57.01334,23.952835,16.67,17.351,0.681
,56.988575,24.087628,16.769,17.869,1.1
,56.789628,24.243998,16.78,17.802,1.022
,57.056717,24.070992,16.855,17.766,0.911
,56.790018,24.244613,16.867,17.392,0.525
,56.906973,24.025535,17.049,17.722,0.673
